DEBUG 2024-10-07 16:01:10,085 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:11,087 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:12,088 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:13,089 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:14,091 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:15,092 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:16,093 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:17,094 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:18,095 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:19,097 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:20,099 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:21,099 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:22,100 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:23,101 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:24,103 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:25,104 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:26,105 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:27,107 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:28,109 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:29,109 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:30,111 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:31,111 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:32,113 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:33,114 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:34,115 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:35,116 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:36,118 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:37,119 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:38,121 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:39,122 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:40,124 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:41,125 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:42,127 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:43,128 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:44,129 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:45,131 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:46,132 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:47,133 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:48,135 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:49,137 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:50,137 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:51,138 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:52,139 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:53,141 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:54,142 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:55,143 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:56,144 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:57,146 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:58,148 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:01:59,148 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:00,149 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:01,150 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:02,152 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:03,153 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:04,155 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:05,156 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:06,157 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:07,158 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:08,159 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:09,160 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:10,162 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:11,163 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:12,164 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:13,165 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:14,166 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:15,168 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:16,168 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:17,169 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:18,170 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:19,172 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:20,173 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:21,174 matchmaking Matchmaking loop is running...
